run_id,timestamp,num_control,num_target,opt_level,resilience_level,dd_enable,shots,backend,depth_2q,count_2q,total_depth,ideal_success_prob,noisy_success_prob,tvd_noisy_vs_ideal,hw_success_prob,tvd_hw_vs_ideal,tvd_hw_vs_noisy,job_id
run-0028,2026-03-01T12:41:05.325280Z,6,4,2,1,True,1024,ibm_marrakesh,181,209,615,1.0,0.882812,0.117188,0.570312,0.429688,0.317383,d6i37osmmeis739pqppg
run-0029,2026-03-01T12:41:17.560893Z,6,4,3,0,False,1024,ibm_marrakesh,181,209,615,1.0,0.882812,0.117188,0.65918,0.34082,0.233398,d6i37rsgmsgc73btddeg
run-0030,2026-03-01T12:41:27.278570Z,6,4,3,0,True,1024,ibm_marrakesh,181,209,615,1.0,0.882812,0.117188,0.580078,0.419922,0.307617,d6i37ue33pjc73dka85g
run-0031,2026-03-01T12:41:40.669261Z,6,4,3,1,False,1024,ibm_marrakesh,181,209,615,1.0,0.882812,0.117188,0.672852,0.327148,0.220703,d6i381kgmsgc73btddkg
run-0032,2026-03-01T12:41:50.970881Z,6,4,3,1,True,1024,ibm_marrakesh,181,209,615,1.0,0.882812,0.117188,0.581055,0.418945,0.30957,d6i384633pjc73dka8c0
run-0033,2026-03-01T12:42:08.622430Z,8,4,0,0,False,1024,ibm_marrakesh,366,560,1454,1.0,0.856445,0.143555,0.023438,0.976562,0.870117,d6i388g60irc7392rni0
run-0034,2026-03-01T12:42:20.547125Z,8,4,0,0,True,1024,ibm_marrakesh,366,560,1454,1.0,0.856445,0.143555,0.121094,0.878906,0.744141,d6i38bcgmsgc73btde20
run-0035,2026-03-01T12:42:40.794750Z,8,4,0,1,False,1024,ibm_marrakesh,366,560,1454,1.0,0.856445,0.143555,0.025391,0.974609,0.857422,d6i38gm33pjc73dka960
run-0036,2026-03-01T12:42:52.520011Z,8,4,0,1,True,1024,ibm_marrakesh,366,560,1454,1.0,0.856445,0.143555,0.118164,0.881836,0.749023,d6i38jkmmeis739pqr4g
run-0037,2026-03-01T12:43:11.439036Z,8,4,1,0,False,1024,ibm_marrakesh,270,350,911,1.0,0.856445,0.143555,0.266602,0.733398,0.601562,d6i38o4mmeis739pqrdg
run-0038,2026-03-01T12:43:22.371054Z,8,4,1,0,True,1024,ibm_marrakesh,270,350,911,1.0,0.856445,0.143555,0.199219,0.800781,0.658203,d6i38qo60irc7392romg
run-0039,2026-03-01T12:43:37.727466Z,8,4,1,1,False,1024,ibm_marrakesh,270,350,911,1.0,0.856445,0.143555,0.257812,0.742188,0.609375,d6i38ukgmsgc73btdf2g
run-0040,2026-03-01T12:43:48.209205Z,8,4,1,1,True,1024,ibm_marrakesh,270,350,911,1.0,0.856445,0.143555,0.200195,0.799805,0.662109,d6i391860irc7392rp2g
run-0041,2026-03-01T12:44:04.472798Z,8,4,2,0,False,1024,ibm_marrakesh,193,263,645,1.0,0.856445,0.143555,0.167969,0.832031,0.697266,d6i395860irc7392rp7g
run-0042,2026-03-01T12:44:15.126101Z,8,4,2,0,True,1024,ibm_marrakesh,193,263,645,1.0,0.856445,0.143555,0.099609,0.900391,0.764648,d6i398060irc7392rpag
run-0043,2026-03-01T12:44:28.738169Z,8,4,2,1,False,1024,ibm_marrakesh,193,263,645,1.0,0.856445,0.143555,0.168945,0.831055,0.699219,d6i39bg60irc7392rpe0
run-0044,2026-03-01T12:44:39.840020Z,8,4,2,1,True,1024,ibm_marrakesh,193,263,645,1.0,0.856445,0.143555,0.089844,0.910156,0.789062,d6i39ee33pjc73dkaap0
run-0045,2026-03-01T12:44:54.507073Z,8,4,3,0,False,1024,ibm_marrakesh,190,274,649,1.0,0.856445,0.143555,0.413086,0.586914,0.452148,d6i39i4gmsgc73btdg00
run-0046,2026-03-01T12:45:06.115755Z,8,4,3,0,True,1024,ibm_marrakesh,190,274,649,1.0,0.856445,0.143555,0.298828,0.701172,0.561523,d6i39l4mmeis739pqsh0
run-0047,2026-03-01T12:45:20.507721Z,8,4,3,1,False,1024,ibm_marrakesh,190,274,649,1.0,0.856445,0.143555,0.449219,0.550781,0.419922,d6i39ocgmsgc73btdga0
run-0048,2026-03-01T12:45:32.347899Z,8,4,3,1,True,1024,ibm_marrakesh,190,274,649,1.0,0.856445,0.143555,0.355469,0.644531,0.504883,d6i39rkgmsgc73btdgfg
